Тип,Категория,Компонент,Тема,ID задачи,Ссылка,Дата создания,Дата изменения,Статус,Этап,Первое сообщение
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),А мог бы клиент обновить приложение до последней версии? Сейчас у него 3.53.0,360345549,https://pyrus.com/t#id360345549,2026-06-11T15:14:09Z,2026-06-22T09:10:29Z,Закрыта,Финальный этап (бот),
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),Абонемент на кофе (Кофепасс),360539031,https://pyrus.com/t#id360539031,2026-06-12T16:15:43Z,2026-06-18T10:04:48Z,Закрыта,Финальный этап (бот),
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),Абонемент на кофе (Кофепасс),360146634,https://pyrus.com/t#id360146634,2026-06-10T18:39:44Z,2026-06-10T19:24:21Z,Закрыта,Первая линия (бот),"Привет! 
Кофепасс доступен гостям только с новой версией мобильного приложения (ios&android) c 3.47"
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),Абонемент на кофе (Кофепасс),360124176,https://pyrus.com/t#id360124176,2026-06-10T16:16:52Z,2026-06-17T10:56:28Z,Закрыта,Финальный этап (бот),
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),Абонемент на кофе (Кофепасс),359852204,https://pyrus.com/t#id359852204,2026-06-09T10:50:30Z,2026-06-09T17:03:29Z,Закрыта,Первая линия (бот),
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Абонемент на кофе (Кофепасс),"Мы не получили от вас ответ, на стороне тех поддержки обращение закрыто. Если вопрос актуален, сообщ...",359750364,https://pyrus.com/t#id359750364,2026-06-08T18:27:29Z,2026-06-25T07:00:58Z,Закрыта,Финальный этап (бот),"Привет! 
Подключаем ответственную команду к вопросу
Должна ли быть кастомизация со льдом?"
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Акции в Казахстане,Https://admin.dodois.io/Promotion/NewBonusActions/BonusActionInfo/9,359129135,https://pyrus.com/t#id359129135,2026-06-05T09:48:03Z,2026-06-26T07:00:44Z,Закрыта,Финальный этап (бот),
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Акции в Казахстане,Я тоже не знаю как передавать,360513469,https://pyrus.com/t#id360513469,2026-06-12T14:15:15Z,2026-06-22T06:43:36Z,Закрыта,Финальный этап (бот),
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Акции в Казахстане,🛑Ошибка! Неверно выбран статус задачи!,359337269,https://pyrus.com/t#id359337269,2026-06-06T12:33:50Z,2026-06-26T15:38:27Z,Открыта,Внешняя линия,
Чат,Акции и скидки,Drinkit → Маркетинг и акции → Акции в ОАЭ,Dubai 07 Mirdif city centre,362376002,https://pyrus.com/t#id362376002,2026-06-23T06:55:46Z,2026-06-23T08:20:24Z,Закрыта,Оператор,dubai 07 Mirdif city centre
Чат,Акции и скидки,Drinkit → Маркетинг и акции → Акции в ОАЭ,Good afternoon this is john From drinkit dubai,362809506,https://pyrus.com/t#id362809506,2026-06-25T11:45:27Z,2026-06-25T12:44:15Z,Закрыта,Оператор,Good afternoon this is john From drinkit dubai 0-2
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Акции в ОАЭ,"Hello, I have forwarded your question to the responsible team; please await a response.",362391740,https://pyrus.com/t#id362391740,2026-06-23T08:18:12Z,2026-06-23T08:20:08Z,Открыта,Внешняя линия,
Чат,Акции и скидки,Drinkit → Маркетинг и акции → Акции в ОАЭ,"Hello, good day. This is Kristina of Drinkit Dubai 08",359086993,https://pyrus.com/t#id359086993,2026-06-05T06:15:04Z,2026-06-05T07:32:41Z,Закрыта,Оператор,"Hello, good day. This is Kristina of Drinkit Dubai 08"
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Акции в ОАЭ,Акции в ОАЭ,362819304,https://pyrus.com/t#id362819304,2026-06-25T12:30:50Z,2026-06-25T12:34:57Z,Открыта,Внешняя линия,
Тикет,Акции и скидки,Drinkit → Маркетинг и акции → Акции в России,Https://admin.dodois.io/Promotion/NewBonusActions/BonusActionInfo/894 – удалим из профиля баннкр?,362415667,https://pyrus.com/t#id362415667,2026-06-23T10:09:22Z,2026-06-25T15:34:18Z,Закрыта,Финальный этап (бот),
